=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.03.22 01:43:51 =~=~=~=~=~=~=~=~=~=~=~=
OFF   Min:41  Max: 892  T1  Max: 948  T: 267     940
ON    Min:41  Max: 948  T: 267     937
ON    Min:0  Max: 933  T: 233     933
ON    Min:0  Max: 936  T: 234     936
ON    Min:0  Max: 938  T: 234     938
ON    Min:0  Max: 938  T: 234     937
ON    Min:0  Max: 938  T: 234     934
ON    Min:0  Max: 938  T: 234     931
ON    Min:0  Max: 938  T: 234     932
ON    Min:0  Max: 938  T: 234     933
ON    Min:0  Max: 938  T: 234     933
ON    Min:0  Max: 938  T: 234     935
ON    Min:0  Max: 938  T: 234     937
ON    Min:0  Max: 939  T: 234     939
ON    Min:0  Max: 939  T: 234     939
ON    Min:0  Max: 939  T: 234     937
ON    Min:0  Max: 939  T: 234     934
ON    Min:0  Max: 939  T: 234     931
ON    Min:0  Max: 939  T: 234     930
ON    Min:0  Max: 939  T: 234     932
ON    Min:0  Max: 939  T: 234     936
ON    Min:0  Max: 939  T: 234     938
ON    Min:0  Max: 940  T: 235     940
ON    Min:0  Max: 940  T: 235     940
ON    Min:0  Max: 940  T: 235     938
ON    Min:0  Max: 940  T: 235     936
ON    Min:0  Max: 940  T: 235     933
ON    Min:0  Max: 940  T: 235     932
ON    Min:0  Max: 940  T: 235     932
ON    Min:0  Max: 940  T: 235     933
ON    Min:0  Max: 940  T: 235     937
ON    Min:0  Max: 942  T: 235     942
ON    Min:0  Max: 943  T: 235     943
ON    Min:0  Max: 943  T: 235     939
ON    Min:0  Max: 943  T: 235     933
ON    Min:0  Max: 943  T: 235     930
ON    Min:0  Max: 943  T: 235     928
ON    Min:0  Max: 943  T: 235     922
ON    Min:0  Max: 943  T: 235     922
ON    Min:0  Max: 943  T: 235     925
ON    Min:0  Max: 943  T: 235     926
ON    Min:0  Max: 943  T: 235     929
ON    Min:0  Max: 943  T: 235     929
ON    Min:0  Max: 943  T: 235     927
ON    Min:0  Max: 943  T: 235     924
ON    Min:0  Max: 943  T: 235     921
ON    Min:0  Max: 943  T: 235     919
ON    Min:0  Max: 943  T: 235     920
ON    Min:0  Max: 943  T: 235     922
ON    Min:0  Max: 943  T: 235     924
OFF   Min:999  Max: 925  T: 981     925
OFF   Min:999  Max: 913  T: 978     913
OFF   Min:910  Max: 913  T: 910     910
OFF   Min:906  Max: 913  T: 907     906
OFF   Min:906  Max: 913  T: 907     907
ON    Min:906  Max: 913  T: 907     908
ON    Min:906  Max: 913  T: 907     909
ON    Min:906  Max: 913  T: 907     912
ON    Min:906  Max: 915  T: 908     915
ON    Min:906  Max: 930  T: 912     930
ON    Min:906  Max: 930  T: 912     929
ON    Min:906  Max: 930  T: 912     926
ON    Min:906  Max: 930  T: 912     922
ON    Min:906  Max: 930  T: 912     919
ON    Min:906  Max: 930  T: 912     921
ON    Min:906  Max: 930  T: 912     928
ON    Min:906  Max: 932  T: 912     932
ON    Min:906  Max: 933  T: 912     933
ON    Min:906  Max: 933  T: 912     931
ON    Min:906  Max: 933  T: 912     928
ON    Min:906  Max: 933  T: 912     925
ON    Min:906  Max: 933  T: 912     923
ON    Min:906  Max: 933  T: 912     921
ON    Min:906  Max: 933  T: 912     922
ON    Min:906  Max: 933  T: 912     925
ON    Min:906  Max: 933  T: 912     927
ON    Min:906  Max: 933  T: 912     933
ON    Min:906  Max: 934  T: 913     934
ON    Min:906  Max: 934  T: 913     928
OFF   Min:906  Max: 934  T: 913     909
OFF   Min:905  Max: 934  T: 912     905
OFF   Min:904  Max: 934  T: 911     904
OFF   Min:904  Max: 934  T: 911     906
OFF   Min:904  Max: 934  T: 911     907
OFF   Min:904  Max: 934  T: 911     906
OFF   Min:904  Max: 934  T: 911     905
OFF   Min:900  Max: 934  T: 908     900
OFF   Min:899  Max: 934  T: 907     899
OFF   Min:899  Max: 934  T: 907     901
OFF   Min:899  Max: 934  T: 907     901
OFF   Min:899  Max: 934  T: 907     904
OFF   Min:899  Max: 934  T: 907     907
ON    Min:899  Max: 934  T: 907     910
ON    Min:899  Max: 934  T: 907     911
ON    Min:899  Max: 934  T: 907     908
OFF   Min:899  Max: 934  T: 907     905
OFF   Min:899  Max: 934  T: 907     901
OFF   Min:899  Max: 934  T: 907     900
OFF   Min:899  Max: 934  T: 907     902
OFF   Min:899  Max: 934  T: 907     906
ON    Min:899  Max: 934  T: 907     915
ON    Min:899  Max: 934  T: 907     916
ON    Min:899  Max: 934  T: 907     912
OFF   Min:899  Max: 934  T: 907     907
OFF   Min:899  Max: 934  T: 907     903
OFF   Min:899  Max: 934  T: 907     901
OFF   Min:899  Max: 934  T: 907     902
OFF   Min:899  Max: 934  T: 907     904
OFF   Min:899  Max: 934  T: 907     905
OFF   Min:899  Max: 934  T: 907     906
OFF   Min:899  Max: 934  T: 907     905
OFF   Min:899  Max: 934  T: 907     901
OFF   Min:899  Max: 934  T: 907     902
OFF   Min:899  Max: 934  T: 907     901
OFF   Min:899  Max: 934  T: 907     899
OFF   Min:899  Max: 934  T: 907     900
OFF   Min:899  Max: 934  T: 907     903
OFF   Min:899  Max: 934  T: 907     907
ON    Min:899  Max: 934  T: 907     908
OFF   Min:899  Max: 934  T: 907     905
OFF   Min:899  Max: 934  T: 907     901
OFF   Min:897  Max: 934  T: 906     897
OFF   Min:895  Max: 934  T: 904     895
OFF   Min:895  Max: 934  T: 904     900
ON    Min:895  Max: 934  T: 904     906
ON    Min:895  Max: 934  T: 904     907
ON    Min:895  Max: 934  T: 904     907
ON    Min:895  Max: 934  T: 904     905
OFF   Min:895  Max: 934  T: 904     901
OFF   Min:895  Max: 934  T: 904     898
OFF   Min:895  Max: 934  T: 904     896
OFF   Min:895  Max: 934  T: 904     896
OFF   Min:895  Max: 934  T: 904     898
OFF   Min:895  Max: 934  T: 904     901
ON    Min:895  Max: 934  T: 904     907
ON    Min:895  Max: 934  T: 904     909
ON    Min:895  Max: 934  T: 904     905
OFF   Min:895  Max: 934  T: 904     901
OFF   Min:895  Max: 934  T: 904     897
OFF   Min:895  Max: 934  T: 904     897
OFF   Min:895  Max: 934  T: 904     899
OFF   Min:895  Max: 934  T: 904     901
OFF   Min:895  Max: 934  T: 904     904
OFF   Min:895  Max: 934  T: 904     904
OFF   Min:895  Max: 934  T: 904     901
OFF   Min:895  Max: 934  T: 904     901
OFF   Min:895  Max: 934  T: 904     904
OFF   Min:895  Max: 934  T: 904     902
OFF   Min:895  Max: 934  T: 904     901
OFF   Min:895  Max: 934  T: 904     904
ON    Min:895  Max: 934  T: 904     908
ON    Min:895  Max: 934  T: 904     910
ON    Min:895  Max: 934  T: 904     909
ON    Min:895  Max: 934  T: 904     906
OFF   Min:895  Max: 934  T: 904     901
OFF   Min:895  Max: 934  T: 904     899
OFF   Min:895  Max: 934  T: 904     899
ON    Min:895  Max: 934  T: 904     905
ON    Min:895  Max: 934  T: 904     908
ON    Min:895  Max: 934  T: 904     909
ON    Min:895  Max: 934  T: 904     908
OFF   Min:895  Max: 934  T: 904     904
OFF   Min:895  Max: 934  T: 904     900
OFF   Min:895  Max: 934  T: 904     897
OFF   Min:895  Max: 934  T: 904     896
OFF   Min:895  Max: 934  T: 904     898
OFF   Min:895  Max: 934  T: 904     901
OFF   Min:895  Max: 934  T: 904     904
ON    Min:895  Max: 934  T: 904     910
ON    Min:895  Max: 934  T: 904     909
ON    Min:895  Max: 934  T: 904     905
OFF   Min:895  Max: 934  T: 904     901
OFF   Min:895  Max: 934  T: 904     898
OFF   Min:895  Max: 934  T: 904     899
OFF   Min:895  Max: 934  T: 904     902
ON    Min:895  Max: 934  T: 904     905
ON    Min:895  Max: 934  T: 904     907
ON    Min:895  Max: 934  T: 904     905
OFF   Min:895  Max: 934  T: 904     901
OFF   Min:895  Max: 934  T: 904     901
OFF   Min:895  Max: 934  T: 904     899
OFF   Min:895  Max: 934  T: 904     898
OFF   Min:895  Max: 934  T: 904     899
OFF   Min:895  Max: 934  T: 904     903
ON    Min:895  Max: 934  T: 904     907
ON    Min:895  Max: 934  T: 904     908
ON    Min:895  Max: 934  T: 904     905
OFF   Min:895  Max: 934  T: 904     901
OFF   Min:895  Max: 934  T: 904     897
OFF   Min:895  Max: 934  T: 904     897
OFF   Min:895  Max: 934  T: 904     901
OFF   Min:895  Max: 934  T: 904     904
ON    Min:895  Max: 934  T: 904     905
ON    Min:895  Max: 934  T: 904     906
ON    Min:895  Max: 934  T: 904     905
OFF   Min:895  Max: 934  T: 904     901
OFF   Min:895  Max: 934  T: 904     897
OFF   Min:895  Max: 934  T: 904     895
OFF   Min:895  Max: 934  T: 904     895
OFF   Min:895  Max: 934  T: 904     897
OFF   Min:895  Max: 934  T: 904     904
ON    Min:895  Max: 934  T: 904     910
ON    Min:895  Max: 934  T: 904     908
OFF   Min:895  Max: 934  T: 904     904
OFF   Min:895  Max: 934  T: 904     901
OFF   Min:895  Max: 934  T: 904     898
OFF   Min:895  Max: 934  T: 904     897
OFF   Min:895  Max: 934  T: 904     899
OFF   Min:895  Max: 934  T: 904     901
OFF   Min:895  Max: 934  T: 904     903
OFF   Min:895  Max: 934  T: 904     904
OFF   Min:895  Max: 934  T: 904     904
OFF   Min:895  Max: 934  T: 904     902
OFF   Min:895  Max: 934  T: 904     897
OFF   Min:895  Max: 934  T: 904     895
OFF   Min:895  Max: 934  T: 904     895
OFF   Min:895  Max: 934  T: 904     899
OFF   Min:895  Max: 934  T: 904     904
ON    Min:895  Max: 934  T: 904     906
ON    Min:895  Max: 934  T: 904     905
OFF   Min:895  Max: 934  T: 904     902
OFF   Min:895  Max: 934  T: 904     898
OFF   Min:895  Max: 934  T: 904     899
OFF   Min:895  Max: 934  T: 904     899
OFF   Min:895  Max: 934  T: 904     900
OFF   Min:895  Max: 934  T: 904     902
